,Verse,B1,P3,To,W1,Normalized
406,457,Nulla parte suos mea cernit carbasa portus,Nulla parte suos mea cernit carbasa portus,Nulla parte suos cernunt uiam carbasa portus,Nulla parte suos cernunt mea carbasa portus,Nú má várt segl enga hǫfn sjá
407,458,Nec sentire potest anchora nostra solum,Nec sentire potest anchora nostra solum,Nec sentire potest anchora nostra solum,Nec sentire potest anchora nostra solum,ok várt akkeri má hvergi land kenna
408,459,Lesit nostra suam quo querat cura salutem,Nescit nostra suam qua querat cura salutem,Nescit nostra suam quo querat cura salutem,Nescit nostra suam qua querat cura salutem,ok várr harmr veit sér hvergi hjalpar ván
409,46,Iustaque causa fuit dicere que uetuit,Iustaque causa fuit dicere que uetuit,Iustaque causa fuit dicere qoud uetuit,Iustaque causa fuit dicere que uetuit,Ok rétt var sǫk ok sǫgn
410,460,Fert Galathea mei sola doloris opem,Fert Galathea meam sola doloris salutis,Fert Galathea mei sola doloris opem,Fert Galathea mei sola doloris opem,einsaman Galathea hefir huggan mína ok harms míns
411,461,Causa mee mortis hec est et cura salutis,Causa mee mortis hec est et causa salutis,Causa mee mortis hec est et causa salutis,Causa mee mortis hec est et causa salutis,ok hon er sǫk bana míns ok hon er ván heilsu minnar
412,462,Qua si non paciar tunc placet ut moria,Qua si non pociar tunc placet ut moria,Qua si non pociar tunc placet ut moria,Qua si non pociar tunc placet ut moria,"því ef ek má eigi hennar njóta
 þá líkar mér at deyja"
413,463,Stulte quid insanis cur te dolor urget inanis,Stulte quid insanis quid te dolor urget inanis,Stulte quid insanis cur te dolor urget inanis,Stulte quid insanis cur te dolor urget inanis,Heyr þú fól hví ǿrðistu hverr ósløkkiligr harmr þrøngvir þér
414,464,Acquirit gemitus premia nulla tuus,Acquirit gemitus premia nulla tuus,Acquirit gemitus munera nulla tuus,Acquirit gemitus premia nulla tuus,"þín aumkan aflar þér enga ambun
"
415,465,Temperet ergo tuum modus et prudencia fletum,Temperet ergo tuum modus et prudencia fletum,Temperet ergo tuum modus et prudencia fletum,Temperet ergo tuum modus et prudencia fletum,þú skalt stilla harmi þínum vél
416,466,Terge tuas lacrimas prospice quid facias,Terge tuas lacrimas prospice quid facias,Terge tuas lacrimas prospice quid facias,Terge tuas lacrimas prospice quid facias,ok lǽvísi ok hygg at hvat þú skalt gera
417,467,Conspicit ingentes animos inanis egestas,Concipit ingentes animos inanis egestas,Concipit ingentes animos mortalis egestas,Concipit ingentes animos inanis egestas,mikil fátǿkð gerir manni við margt at leita
418,468,Et facit artificiem sepius hec homniem,Et facit artificiem sepius hec homniem,Et facit artificiem sepius hoc homniem,Et facit artificiem sepius hec homniem,
419,469,Ars hominis magnum superat studiosa periclum,Ars hominum magnum superat studiosa periclum,Ars hominis magnum superat studiosa periclum,Ars hominis magnum superat studiosa periclum,íðn ok vél manns sigrar mikinn háska
420,47,Dicitur et fateor me nobilioribus ortam,Dicitur et fateor me nobilioribus orta,Dicitur et fateor me nobilioribus orta,Dicitur et fateor me nobilioribus ortam,ok þat er satt ok ek játa at hon er kyngǫfgari mér
421,470,"Me labor arsque uigil forte iuuaret adhuc""","Te labor arsque uigil forte iuuaret adhuc""","Te labor arsque uigil forte iuuaret adhuc""","Te labor arsque uigil forte iuuabit adhuc""",enn mǽtti með atburð starf okkart með vild endask ok með hjǫlp koma
422,471,Quis labor heu tantum posset superare periclum,Quis labor heu tantum posset superare periclum,Quis heu labor tantum posset superare periclum,Quis labor heu tantum posset superare periclum,Ho kvað hann hvert starf myndi sigra mega svá mikinn háska
423,472,Spes mea tanta perit imminet hora leti,Spes mea tota perit imminet hora thori,Spes mea tota perit imminet hora thori,Spes mea tota perit imminet hora thori,ván mín er ǫll fyrir farin því at nú er komit giftarkveld
424,473,Nec uiuente suo michi nuberet ipsa marito,Nec uiuente suo michi nuberet illa marito,Nec uiuente suo michi nuberet illa marito,Nec uiuente suo michi nuberet illa marito,eigi mun hon mér giftask meðan búandi hennar lifir
425,474,Crimen legitimos est uiolare thoros,Crimen legitimos est uiolare thoros,Crimen legitimos est uiolare thoros,Crimen legitimos est uiolare thoros,synð er mikil hvílu at saurga mundi keypta
426,475,Ad nichilum prorsus meus est labor iste redactus,Ad nichilum prorsus labor est meus iste redactus,Ad nichilum prorsus meus est labor iste redactus,Ad nichilum prorsus meus est labor inde redactus,"þetta mitt starf er ǫllungis
 at engu orðit"
427,476,Et mea cura sue perdidit artis opem,Et mea cura sue perdidit artis opem,Et mea cura sue perdidit artis opem,Et mea cura sue perdidit artis opem,ok mín kunnasta hefir hjalp tapat sinna véla
428,477,Nulla dies mitem dabit et nox nulla quietem,Nulla dies mitem dabit et nox nulla quietem,Nulla dies mitem dabit et nox ulla quietem,Nulla dies mentem dabit et nox nulla quietem,dagr né nátt man sá engi koma er mér hǿgja hvíld gefi
429,478,Semper me miserum uexat inanis amor,Semper me miserum carpit inanis amor,Semper me miserum carpit inanis amor,Semper me miserum carpet inanis amor,fá nytsemð mun ǽ með mér veslum liggja
430,479,Sepius exigua color - labitur hora,Sepius exigua labor ingens labitur hora,Sepius exigua dolor ingens labitur hora,Sepius exigua dolor ingens labitur hora,Oft fellr mikill harmr á lítilli stundu
431,48,Hijs ideo metuo dicere uelle meum,Huic ideo metuo dicere uelle meum,Hijs ideo metuo dicere uelle meum,Hijs igitur metuo dicere uelle meum,
432,480,Ingens in paruis umbrabus aura cadit,Ingens ex paruis ymbribus aura cadit,Ingens et paruis ymbribus aura cadit,Ingens ex paruis ymbribus aura cadit,ok mikit veðr fellr með litlu regni
433,481,Estque serena dies post longo gracior ymbres,Estque serena dies post longos gracior ymbres,Estque serena dies post longos gracior ymbres,Estque serena dies post longos gracior ymbres,ok bjartr dagr er miklu at þekkri at hann komi eftir mikit myrkr
434,482,Et post triste malum fit ipsa salus,Et post triste malum gracior ipsa salus,Et post triste malum gracior ipsa salus,Et post triste malum dulcior ipsa salus,ok sjǫlf heilsa er þekkri eftir langa sótt
435,483,Tu modo respira dolor absit fectus et ira,Tu modo respira dolor absit fletus et ira,Tu modo respira dolor absit fletus et ira,Tu modo respira dolor absit fletus et ira,Andvarpar þú nú ok harmr langt í brott fari
436,484,Sunt prope magna tue gaudia tristicie,Sunt prope magna tue gaudia tristicie,Sunt prope magna tue gaudia tristicie,Sunt prope magna tue gaudia tristicie,því at í nánd er stórligr fagnaðr þínum hryggleik
437,485,Nostrum uelle tua nobis faciet Galathea,Nostrum uelle tua nobis faciet Galathea,Nostrum uelle tua nobis faciet Galathea,Nostrum uelle tua nobis faciat Galathea,Galathea þín man gera okkarn vilja
438,486,"Omnino nostris se dedit imperij""","Omnino nostris se dabit imperij""","Omnino nostris se dedit imperij""","Omnino nostris se dedit imperij""",hon hefir gefit sik með ǫllu undir várt vald
439,487,Vt pia promissis matrum solercia uanis,Vt pia promissis matrum solercia uanis,Vt pia promissis matrum solercia uanis,Vt pia promissis matrum solercia uanis,
440,488,plorantes pueros admonet ut taceant,plorantes pueros admouet ut taceant,plorantes pueros admonet ut taceant,plorantes pueros admonet ut taceant,
441,489,Hic me fortassis falso solamine pascis,Sic me fortassis falso solamine pascis,Sic me fortassis falso solamine pascis,Sic me fortassis falso solamine pascis,svá at sǫmu fǿðir þú mik með flǽrðsamligum hugganum
442,49,Fertur et est uerum quod me sit dicior illa,Fertur et est uerum quod me sit dicior illa,Fertur et est uerum quod me sit dicior illa,Fertur et est uerum quod me sit dicior illa,
443,490,Vt dolor a tristi pectore tristis eat,Vt dolor a tristi pectore tristis eat,Vt dolor a tristi pectore tristis eat,Vt dolor a tristi pectore tristis eat,at hryggleikr ok harmr brott fari
444,5,Vnde futura meis maiora pericula dampnis,Vnde futura meis maiora pericula dampnis,Vnde futura meis maiora pericula dampnis,Vnde futura meis maiora pericula dampnis,
445,50,Et decus et dotes copia sepe rogat,Et decus et dotes copia sepe rogant,Et decus et dotes copia sepe rogat,Et decus et dotes copia sepe rogat,En þat biðr þó hennar
446,51,Nec michi sunt dotes decus ingens et copia grandis,Nec michi sunt dotes decus ingens - copia grandis,Non michi sunt dotes decus ingens - copia grandis,Nec michi sunt dotes decus ingens - copia grandis,Sǿmð ok tilgjǫf er eigi til með mér né gnótt fjár
447,52,sed quod habere queo quero labore meo,sed quod habere queo quero labore meo,sed quod habere queo quero labore meo,sed quod habere queo quero labore meo,"eigi er annat með mér en ek afla með erfiði mínu
"
448,53,Cum modo sit diues cuiusdam nata bubulci,Dummodo - sic diues cuiusdam nata bubulci,Dummodo - sit diues cuiusdam nata bubulci,Dummodo - sit diues cuiusdam nata bubulci,Nú ef sǽl er orðin ein nautrekadóttir
449,54,Eligit e mille quemlibet illa uirum,Eligit e mille quemlibet illa uirum,Eligit e mille quemlibet illa uirum,Eligit e mille quemlibet illa uirum,kyss þann er líkar ór þúshundrað biðla
450,55,Illius in forma nostros tremor occupat artus,Illius in forma nostros tremor occupat artus,Illius in forma nostros tremor occupat artus,Illius in forma nostros tremor occupat artus,"Ok af frǽgð fegrð hennar
 titrar mitt hvert bein"
451,56,Et magis hoc uotum dicere causa uetat,Et magis hoc uotum dicere causa uetat,Et magis hec uotum dicere causa uetat,Et magis hoc uotum dicere causa uetat,ok sǫk meinaði mér at segja þetta
452,57,Concipit ingentes animos fiducia forme,Concipit ingentes animos fiducia forme,Concipit ingentes animos fiducia forme,Concipit ingentes animos fiducia forme,"Traust frǽgðar getr oft hughreysti mikla
"
453,58,Inque modum dominam non sinit esse suam,Inque modum dominam non sinit esse suam,Inque modum dominam non sinit esse suam,Inque modum dominam non sinit esse suam,ok eigi lǽtr í hǽtti sína dróttning
454,59,Has de corde meo temptaui demere curas,Has de corde meo temptaui demere curas,Has de corde meo temptaui demere curas,Has de corde meo temptaui demere curas,Ok freistaða ek ok at hrinda mínu hjarta þessa rǿkð
455,6,spero salutis opem nec medicina dabit,spero salutis opem nec medicina dabit,spero salutis opem nec medicina dabit,spero salutis opem nec medicina dabit,
456,60,Sepius obstanti tunc magis arsit amor,Sepius obstanti tunc magis auxit amor,Sepius obstanti tunc magis arsit amor,Sepius obstanti tunc magis arsit amor,en því heitari brennr ást í mér
457,61,En mala nostra uides en nostra pericula nosti,En mala nostra uides en nostra pericula nosti,En mala nostra uides en nostra pericula nosti,En mala nostra uides en nostra pericula nosti,"nú mátt þú sjá hversu illt ek þoli því at þér er kunnr háski
 várr"
458,62,Inde preco precihus mitis adesto meis,Vnde preco precihus mitis adesto meis,Vnde preco precihus mitis adesto meis,Vnde preco precihus mitis adesto meis,Því bið ek þik ver þú hógvǽr bǿnum mínum
459,63,Non michi respondes non dictis porrigis aures,Non michi respondes nec dictis porrigis aures,Non michi respondes non dictis porrigis aures,Non michi respondes nec dictis porrigis aurem,ok eigi þú í móti mér mǽl
460,64,Nec tua clara meum lumina lumen habent,Nec tua clara meum lumina lumen habent,Nec tua clara meum lumina lumen habent,Nec tua clara meum lumina lumen habent,ok þín hin fǫgru augu hafi mína sýn
461,65,Aut tu tolle tuas nostro de corde sagittas,Aut tu tolle tuas nostro de corde sagittas,Aut tu tolle tuas de corde nostro sagittas,Aut tu tolle tuas nostro de corde sagittas,"Annathvárt tak þú ǫrvar þínar
 ór hjarta mínu"
462,66,Aut tu seua tuis uulnera pasce modi,Aut tu seua tuis uulnera pasce modi,Aut tu seua tuis uulnera pasce modi,Aut tu sana tuis uulnera pasce modi,eða fǿr þú grimmt sár með þínum háttum
463,67,Quis posset tanti curam tolerare laboris,Quis posset curas tanti tolerare laboris,Quis posset tanti curam tolerare laboris,Quis posset tanti curam tolerare laboris,Hverr mátti rǿkð þola svá mikils starfs
464,68,Que domino flent premia nulla daret,Que domino flenti premia nulla daret,Que domino flenti premia nulla daret,Que domino flenti premia nulla daret,er engi laun gǽfi grátandi dróttni
465,69,Insto precando tibi michi nam dolor anxius instat,Insto precando - michi nam dolor anxius instat,Isto rogando tibi michi nam dolor anxius instat,Insto precando tibi michi nam dolor anxius instat,rétt biðjandi til þín því at angrsamt starf þrøngvir mér
466,7,Quam prius ipse uiam meliorem capere possim,Quam prius ipse uiam meliorem carpere possim,Quam prius ipse uiam meliorem carpere possum,Quam prius ipse uiam meliorem carpere possum,"Hverja gatu
 skal ek bezta grípa"
467,70,Assiduasque preces concipit ipse dolor,Assiduasque preces concipit inde dolor,Assiduasque preces concipit ille dolor,Assiduasque preces concipit ipse dolor,Ok sjalfr getr oft sǫmu bǿnar
468,71,Tunc Venus hoc inquit Labor improbus omnia uincit,Tunc Venus hec inquit Labor improbus omnia uincit,Tunc Venus hec inquit Labor improbus omnia uincit,Tunc Venus hoc inquit Labor improbus omnia uincit,Hǿfiligt starf sigrar alla hluti
469,72,Qualibet et poteris ipse labore frui,Quolibet et poteris ipse labore frui,Qualibet et poteris ipse labore frui,Qualibet et poteris ipse labore frui,ok þú skalt hafa hverja er þér líkar ef þú vilt starf á leggja
470,73,Et monstrare tuos animos nulli uerearis,Et monstrare tuos animos nulli uerearis,Et monstrare tuos animos nulli uerearis,Et monstrare tuos animos nulli uerearis,Ok fyrir engarri skalt þú hrǽðask þitt skap at sýna
471,74,Vix erit in mille que neget una tibi,Vix erit e mille que neget una tibi,Vis erit e mille que neget una tibi,Vix erit e mille que neget una tibi,Trautt man finnask ein í þúshundraði sú er þér mun níttask
472,75,Quodque precando petes prius aspera forte negabit,Quamque precando petes prius aspera forte negabit,Quamque precando potes prius aspera forte negabit,Quam precando petes prius aspera forte negabit,Ok þess er þú munt biðjandi leita ok með atburð þá mun hon fyrst snarliga nítta
473,76,Sed leue pondus habet illius asperitas,Sed leue pondus habet ipsius asperitas,Sed leue pondus habet illius asperitas,Sed leue pondus habet illius asperitas,"En snarleikr
 hennar hefir létta byrði"
474,77,Iam iurando prius quos uenditor ipse negabat,Nam iurando prius quos uenditor ipse negabat,Nam iurando prius quos uenditor ipse negabat,Nam iurando prius quos uenditor ille negabat,
475,78,Venales census improbus emptor habet,Venales census improbus emptor habet,Venales census improbus emptor habet,Venales census improbus emptor habet,
476,79,Nec mare transisset pauidus si nauta fuisset,Nec mare transisset pauidus si nauta fuisset,Non mare transisset pauidus si nauta fuisset,Nec mare transisset pauidus si nauta fuisset,
477,8,Heu michi quid facia Non bene certus eo,Heu michi quid facia Non bene tuts eo,Heu michi quid facia Non bene certus eo,Heu michi quid facia Non bene tuts eo,"eða hvat skal ek til taka
 Hvergi má ek øruggr fara"
478,80,Turgida cum primum restitit unda rati,Turgida cum primum restitit unda rati,Turgida cum primum restituit unda rati,Turgida cum primum restitit unda rati,
479,81,Ergo tuis primum si non fauet ipsa loquelis,Ergo tuis primum si non fauet ipsa loquelis,Ergo tuis primum si non datur illa loquelis,Ergo tuis primum si non fauet ipsa loquelis,Nú fyrir því er hon játar eigi fyrst þinni rǿðu
480,81,Ergo tuis primum si non fauet ipsa loquelis,Ergo tuis primum si non fauet ipsa loquelis,Ergo tuis primum si non datur illa loquelis,Ergo tuis primum si non fauet ipsa loquelis,þá haga svá með vél eða þjónkan at hon játi
481,82,Arte uel officio fac tamen ut faueat,Arte uel officio fac tamen ut faueat,Arte uel officio fac tamen ut faueat,Arte uel officio fac tamen ut faueat,
482,83,Ars animos frangit et firmas diruit urbes,Ars animos frangit et firmas diruit urbes,Ars animos frangit et firmas diruit urbes,Ars animos frangit et firmas destruit urbes,vél lǽgir harðan hug vél brýtr stórar borgir
483,84,Arte cadunt turres  arte leuatur onus,Arte cadunt turres  arte leuatur onus,Arte cadunt turres  arte leuatur onus,Arte cadunt turres  arte leuatur onus,vél fellir stóra stǫpla vél lyftir þungri byrði
484,85,Et piscis liquidis deprehendit arte sub undis,Et piscis liquidis deprenditur arte sub undis,Et piscis liquidis deprehenditur arte sub undis,Et piscis liquidis deprehenditur arte sub undis,ok með vél er fiskr tekinn er undir skírri báru er
485,86,Et pedibus siccis per mare currit homo,Et pedibus siccis per mare currit homo,Et pedibus siccis per mare currit homo,Et pedibus siccis per mare currit homo,ok með vél ferr maðr þurrum fótum um haf
486,87,Rebus et in multis ars adiuuat officiumque,Rebus et in multis ars adiuuat officiumque,Rebus et in multis ars adiuuat officiumque,Rebus et in multis ars adiuuat officiumque,Ok í mǫrgum hlutum stoðar manni vél ok þjónkan
487,88,Pauper sepe suo pascitur officio,Pauper sepe suo pascitur officio,Pauper sepe suo pascitur officio,Pauper sepe suo pascitur ingenio,með vél fǿðir margr maðr
488,89,Et quamuis iusta sedatur principis ira,Et quamuis iusta sedatur principis ira,Et quamuis iusta sedatur principis ira,Et quamuis iusta sedatur principis ira,vél lǽgir hǫfðingja reiði
489,9,Conqueror estque mee iustissima causa querele,Conqueror estque mee iustissima causa querele,Conqueror estque mee iustissima causa querele,Conqueror estque mee iustissima causa querele,"Ek segi til meina
 minna ok er sǫk til hin réttasta"
490,90,Seruat et illesum corpus opesque reus,Seruet et illesum corpus opesque suas,Seruat et illesum corpus opesque reus,Seruat et illesum corpus opesque suas,ok með vél gǽtir sekr maðr hǫfuðs síns ok fjár
491,91,Et gaudet locuples qui flere solebat egenus,Et gaudet locuples qui flere solebat egenus,Et gaudet locuples qui flere solet egenus,Et gaudet locuples qui flere solebat egenus,ok með vél glezk sǽll sá er vanr var at gráta vesall
492,92,Et modo uadit eques qui solet ire pedes,Et iam uadit eques qui solet ire pedes,Et modo uadit eques qui solet ire pedes,Et modo uadit eques qui solet ire pedes,ok með vél ríðr nú sá prúðr er vanr var at ganga fátǿkliga
493,93,Quod donare sibi minime potuere parentes,Quod donare sibi minime potuere parentes,Quod donare sibi minime potuere parentes,Quod donare sibi minime potuere parentes,ok þat er engi frǽndi má gefa
494,94,Hoc exercenti iam dabit officium,Hoc exercenti iam dedit officium,Hoc exigenti iam dabit officium,Hoc exercenti iam dedit officium,þá gefr þat iðurliga íðn
495,95,Officiumque tuum primum si forte recusat,Officiumque tuum primum si forte recusat,Officiumque tuum primum si forte recusat,Officiumque tuum primum si forte recusat,ok þó at hon hafni fyrst þinni þjónkan
496,96,Tu seruire tamen esto paratus ei,Tu seruire tamen esto paratus ei,Tu seruire tamen esto paratus ei,Tu seruire tamen esto paratus ei,"þá vert þú búinn at þjóna
 henni"
497,97,Hijs poteris superare minas causantis amice,Hijs poteris superare minas causantis amice,Hijs poteris superare minas causantis amice,Hijs poteris superare minas causantis amice,"með þvísa mátt þú sigra hót heitsamrar
 vinu"
498,98,Fiet amica tibi que prius hostis erat,Fiet amica tibi que prius hostis erat,Fiet amica tibi que prius hostis erat,Que prius hostis erat fiet amica tibi,ok mun sú gerask vina þín er áðr var andskoti
499,99,In quibus ipsa solet loca sepius illa frequenta,In quibus esse solet loca sepius illa frequenta,In quibus esse solet loca sepius ipsa frequenta,In quibus esse solet loca sepius ipse frequenta,til þess staðar skalt þú oft koma sem þú veizt hana vana vera
500,"139, 140",,,,,ger þik fullhugðan
501,141a,,,,,gǽt nú minna ráða
502,173a,,,,,at elska nǿrisk
503,178a,,,,,en þú heyr skilvísliga ok er þetta mitt erendi
504,19a,,,,,Ok engi er lauss meðan bundinn er
505,"21, 22",,,,,því at eldr er beiskari í útkomu en inni byrgðr
506,228a,,,,,gnǿttisk mér at eins þessa heims virðing
507,"235, 236",,,,,"at vit mǽttim fagrliga
 faðmask ok kurteisa kossa veita hvárt ǫðru þá er staðr er til hǿfiligr"
508,258a,,,,,ok minn harmr vaxa
509,"263, 264",,,,,sorgfullr em ek nú dreginn með margfaldri áhyggju ok háska svá at ek kann ei at skynja
510,270a,,,,,nema auðna hrindi því
511,"294, 295",,,,,þó at logit sé þúsund illskur
512,304a,,,,,svá verðr oft þeim er lítit gefr
513,352a,,,,,nú gǿl of margt mun ek nú mǽlt hafa
514,367a,,,,,dǿmir ykkr bǽði saman
515,36a,,,,,þá týni ek henni þungliga
516,"376, 377, 378, 379, 380",,,,,þá bið ek þik at þú segir mér hvat er þér líkar eða eigi í minni rǿðu en orð þín munu eigi í hvers manns heyrn heldr munu víst með mér allvel leynd vera þat er þú vilt leyna því mun ek leyna ok þat er þú vilt at sagt sé þat mun ek segja seg mér vilja þinn ok skammask ei øruggt mun ek leyna því at sjá hrǽzla kømr af ónǿfrleik en ei af ǫðru
517,"382, 383",,,,,þat undra ek eigi minnst
518,38a,,,,,"Mik myndi ok minnr saka ef hon fjarri
 vǽri"
519,406a,,,,,"folginn losti þat er náttúra
 ǿskumanna"
520,422a,,,,,þá glezk sá er áðr var hryggr af ást
521,453a,,,,,"fǿtr gǫngu hendr handlan tunga máli augu sjón eyru heyrn búkr má eigi herðum
 halda né hals hǫfði"
522,"487, 488",,,,,Svá sem mild móðir með hégómligum orðum ok heitum hugga sín bǫrn er gráta at þau þegi
523,"5, 6",,,,,"Því vǽnti
 ek þar meira háska mínum skaða ok engi lǽkning man gera heilsu hjalp"
524,60a,,,,,Þú Venus
525,76a,,,,,ok verðr sú varla halfvirði keypt er fyrst er dýrt metin með svǫrnum eiðum
526,"79, 80",,,,,Ok engi myndi yfir haf fara er hann fyrsta þrútna báru hrǽðisk er skipi mǿtir
527,81a,,,,,því at vél fylgir lǽvísum manni
